epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2511,2.15174,4.42056,1.25387,0.02281,0.14366,0.03525,0.01902,2.22458,3.87027,1.0914,0.000194559,0.000194559,0.000194559
2,186.627,2.27347,3.77038,1.14399,0.42132,0.09011,0.06956,0.03844,2.33172,3.05977,1.08909,0.000387981,0.000387981,0.000387981
3,278.115,2.32846,3.24508,1.12682,0.39707,0.0933,0.07579,0.0419,2.26152,2.80271,1.081,0.000578816,0.000578816,0.000578816
4,372.322,2.30106,2.82501,1.09537,0.71019,0.08603,0.08832,0.04806,2.20745,2.38922,1.05022,0.000576358,0.000576358,0.000576358
5,462.992,2.25384,2.55196,1.08726,0.66458,0.11401,0.10955,0.05975,2.16279,2.11116,1.04314,0.000572477,0.000572477,0.000572477
6,555.346,2.21069,2.34305,1.0714,0.44614,0.14616,0.12453,0.06994,2.1147,1.99337,1.0365,0.000568596,0.000568596,0.000568596
7,651.345,2.16816,2.18223,1.06203,0.34665,0.19188,0.13179,0.07454,2.04869,1.90073,1.03097,0.000564715,0.000564715,0.000564715
8,742.005,2.14566,2.07942,1.05481,0.44858,0.19914,0.16449,0.09675,2.07061,1.85306,1.01979,0.000560834,0.000560834,0.000560834
9,835.551,2.09814,2.00579,1.04359,0.35168,0.22083,0.17914,0.10288,2.04118,1.81241,1.01896,0.000556954,0.000556954,0.000556954
10,936.133,2.0792,1.98779,1.04345,0.46662,0.21733,0.18063,0.10909,2.03491,1.75606,1.01644,0.000553073,0.000553073,0.000553073
11,1041.6,2.0265,1.8938,1.0375,0.53747,0.20358,0.19867,0.12113,1.95697,1.6825,1.00999,0.000549192,0.000549192,0.000549192
12,1138.32,2.02736,1.87609,1.02667,0.51251,0.20971,0.20438,0.12525,1.96463,1.66457,1.01728,0.000545311,0.000545311,0.000545311
13,1233.22,2.02087,1.84384,1.02644,0.64678,0.20773,0.21701,0.13111,1.99829,1.63522,1.00911,0.00054143,0.00054143,0.00054143
14,1336.88,1.99099,1.78784,1.02273,0.59825,0.19882,0.23025,0.14107,1.93429,1.62925,0.99938,0.00053755,0.00053755,0.00053755
