epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.602,2.1686,4.33535,1.23883,0.03347,0.17748,0.05018,0.02929,2.15078,3.73914,1.08996,0.000194559,0.000194559,0.000194559
2,238.166,2.21528,3.60738,1.12562,0.62829,0.07925,0.08979,0.05042,2.13811,2.93069,1.07647,0.000387981,0.000387981,0.000387981
3,335.703,2.22215,3.04421,1.1107,0.61645,0.13162,0.12113,0.07119,2.11497,2.39774,1.06773,0.000578816,0.000578816,0.000578816
