epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4571.91,1.65828,1.28237,0.96879,0.68065,0.49154,0.54304,0.38033,1.58985,1.18734,0.96586,0.000428887,0.000428887,0.000428887
43,4669.46,1.66336,1.27888,0.96487,0.56304,0.53052,0.54135,0.3691,1.6162,1.20732,0.96585,0.000425006,0.000425006,0.000425006
44,4769.09,1.64714,1.26036,0.96713,0.64792,0.50725,0.54775,0.37889,1.58381,1.17064,0.95863,0.000421126,0.000421126,0.000421126
45,4897.14,1.68271,1.26267,0.96551,0.62296,0.53608,0.55618,0.39002,1.58131,1.17463,0.96091,0.000417245,0.000417245,0.000417245
46,4996.43,1.65419,1.25032,0.96195,0.67953,0.5001,0.54146,0.37688,1.58291,1.19099,0.95983,0.000413364,0.000413364,0.000413364
47,5094.85,1.63471,1.22925,0.9603,0.73205,0.49856,0.55619,0.38827,1.57343,1.15636,0.95855,0.000409483,0.000409483,0.000409483
48,5193.22,1.61937,1.2059,0.9537,0.66816,0.50796,0.54567,0.37732,1.62114,1.18398,0.9634,0.000405602,0.000405602,0.000405602
49,5292.56,1.64571,1.22947,0.95804,0.68739,0.51621,0.56287,0.39183,1.58004,1.1537,0.95502,0.000401722,0.000401722,0.000401722
50,5388.84,1.62037,1.21513,0.96128,0.67527,0.50716,0.57326,0.39769,1.59415,1.17031,0.96191,0.000397841,0.000397841,0.000397841
51,5488.42,1.61852,1.20924,0.95642,0.61647,0.54916,0.57015,0.39603,1.57322,1.12645,0.95735,0.00039396,0.00039396,0.00039396
52,5586.4,1.61306,1.20863,0.96133,0.63937,0.52169,0.56357,0.39806,1.57115,1.15553,0.95901,0.000390079,0.000390079,0.000390079
53,5682.97,1.65082,1.20886,0.96216,0.68326,0.53945,0.60261,0.41901,1.57101,1.10345,0.9541,0.000386198,0.000386198,0.000386198
54,5782.3,1.61533,1.19187,0.95253,0.75665,0.52732,0.60191,0.42073,1.5529,1.10587,0.95117,0.000382318,0.000382318,0.000382318
55,5902.34,1.60516,1.18443,0.95111,0.71474,0.55818,0.61696,0.42552,1.57847,1.12146,0.95533,0.000378437,0.000378437,0.000378437
56,6002.28,1.61539,1.18731,0.95377,0.67799,0.57391,0.62181,0.437,1.5374,1.10059,0.95281,0.000374556,0.000374556,0.000374556
57,6099.59,1.60178,1.17421,0.95475,0.68638,0.55056,0.59518,0.42173,1.54051,1.09697,0.95038,0.000370675,0.000370675,0.000370675
58,6198.12,1.58328,1.15701,0.94477,0.74528,0.54295,0.61055,0.42395,1.58382,1.09285,0.95295,0.000366794,0.000366794,0.000366794
59,6297.53,1.59879,1.15049,0.95129,0.75422,0.53698,0.61731,0.42901,1.5447,1.07821,0.94929,0.000362914,0.000362914,0.000362914
60,6395.52,1.60199,1.16047,0.94638,0.67601,0.56806,0.61557,0.4311,1.54307,1.0819,0.95222,0.000359033,0.000359033,0.000359033
61,6494.68,1.59013,1.14796,0.94542,0.69429,0.53949,0.60673,0.42565,1.55569,1.08358,0.95117,0.000355152,0.000355152,0.000355152
62,6592.09,1.59966,1.13837,0.94475,0.69224,0.55806,0.61557,0.43597,1.54182,1.07703,0.94538,0.000351271,0.000351271,0.000351271
63,6691.7,1.57783,1.12626,0.94399,0.70661,0.58298,0.6354,0.45159,1.52019,1.05627,0.94394,0.00034739,0.00034739,0.00034739
64,6791.91,1.57746,1.13593,0.94589,0.70295,0.5739,0.6328,0.44419,1.519,1.0535,0.94286,0.00034351,0.00034351,0.00034351
65,6890.57,1.57121,1.11976,0.94271,0.70319,0.56523,0.6322,0.45257,1.50827,1.05299,0.94423,0.000339629,0.000339629,0.000339629
66,6990.51,1.5729,1.1228,0.94312,0.69955,0.58056,0.63144,0.4407,1.52171,1.06494,0.94671,0.000335748,0.000335748,0.000335748
67,7087.66,1.56982,1.12618,0.94485,0.67817,0.59295,0.637,0.4383,1.52785,1.06295,0.94427,0.000331867,0.000331867,0.000331867
68,7185.7,1.54988,1.10358,0.942,0.69935,0.5825,0.62326,0.44421,1.51346,1.04636,0.94251,0.000327986,0.000327986,0.000327986
69,7283.9,1.58827,1.10937,0.93528,0.65589,0.5981,0.63294,0.44561,1.51806,1.04366,0.94456,0.000324106,0.000324106,0.000324106
70,7383.49,1.55187,1.09359,0.94085,0.66125,0.60408,0.63318,0.45127,1.49315,1.04005,0.93983,0.000320225,0.000320225,0.000320225
71,7480.91,1.55881,1.09744,0.93628,0.74433,0.59263,0.65464,0.46298,1.49833,1.02803,0.94047,0.000316344,0.000316344,0.000316344
72,7578.97,1.54181,1.08061,0.94188,0.77477,0.58406,0.65443,0.462,1.51075,1.04349,0.94466,0.000312463,0.000312463,0.000312463
73,7678.05,1.55046,1.09294,0.94072,0.6878,0.60473,0.64728,0.45463,1.5045,1.03502,0.94096,0.000308582,0.000308582,0.000308582
74,7775.38,1.55771,1.08656,0.93622,0.76103,0.57319,0.6606,0.46414,1.51603,1.01991,0.94369,0.000304702,0.000304702,0.000304702
75,7873.4,1.5573,1.07643,0.93512,0.71798,0.59727,0.65161,0.45973,1.51582,1.01713,0.94001,0.000300821,0.000300821,0.000300821
76,7971.16,1.54689,1.07056,0.93607,0.69149,0.61386,0.65228,0.46862,1.48831,1.01495,0.93592,0.00029694,0.00029694,0.00029694
