epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.194,2.1686,4.33535,1.23883,0.03347,0.17748,0.05018,0.02929,2.15078,3.73914,1.08996,0.000194559,0.000194559,0.000194559
2,220.268,2.21528,3.60738,1.12562,0.62829,0.07925,0.08979,0.05042,2.13811,2.93069,1.07647,0.000387981,0.000387981,0.000387981
3,323.295,2.22215,3.04421,1.1107,0.61645,0.13162,0.12113,0.07119,2.11497,2.39774,1.06773,0.000578816,0.000578816,0.000578816
4,429.471,2.17507,2.57997,1.08756,0.57234,0.172,0.11708,0.06789,2.04912,2.09747,1.05991,0.000576358,0.000576358,0.000576358
5,532.703,2.11207,2.33871,1.07593,0.61528,0.16634,0.14483,0.08527,1.98017,1.96458,1.05188,0.000572477,0.000572477,0.000572477
6,638.681,2.08497,2.21109,1.07075,0.49934,0.18726,0.16724,0.10275,1.94292,1.89838,1.04262,0.000568596,0.000568596,0.000568596
7,745.943,2.06141,2.09343,1.07021,0.51331,0.24417,0.19126,0.11969,1.87315,1.80231,1.03215,0.000564715,0.000564715,0.000564715
8,852.432,2.02247,1.98603,1.05035,0.47324,0.2539,0.22408,0.14296,1.86672,1.73275,1.02316,0.000560834,0.000560834,0.000560834
9,958.356,1.96301,1.92381,1.0447,0.59572,0.26378,0.23702,0.14824,1.86404,1.72452,1.02914,0.000556954,0.000556954,0.000556954
10,1063.18,1.97667,1.90981,1.04844,0.50038,0.27192,0.24694,0.15429,1.84188,1.68797,1.02057,0.000553073,0.000553073,0.000553073
11,1168.76,1.90913,1.82522,1.04362,0.57083,0.28462,0.25662,0.15156,1.91734,1.65012,1.02898,0.000549192,0.000549192,0.000549192
12,1274.11,1.91426,1.7983,1.02552,0.61564,0.2891,0.29137,0.18778,1.78573,1.56743,1.00895,0.000545311,0.000545311,0.000545311
13,1379.46,1.90012,1.75833,1.03155,0.65094,0.28986,0.31058,0.19621,1.81774,1.55972,1.01599,0.00054143,0.00054143,0.00054143
14,1484.09,1.85807,1.70617,1.02501,0.60751,0.3017,0.30414,0.18775,1.88577,1.55865,1.02462,0.00053755,0.00053755,0.00053755
15,1588.49,1.8481,1.7039,1.02095,0.64468,0.30473,0.32357,0.20045,1.83328,1.50616,1.02765,0.000533669,0.000533669,0.000533669
16,1693.38,1.87861,1.67845,1.02706,0.6141,0.33299,0.34233,0.22427,1.75764,1.51399,1.00118,0.000529788,0.000529788,0.000529788
